datetime,open_lag_0,high_lag_0,low_lag_0,close_lag_0,open_lag_1,high_lag_1,low_lag_1,close_lag_1,open_lag_2,high_lag_2,low_lag_2,close_lag_2,open_lag_3,high_lag_3,low_lag_3,close_lag_3,open_lag_4,high_lag_4,low_lag_4,close_lag_4,open_lag_5,high_lag_5,low_lag_5,close_lag_5,open_lag_6,high_lag_6,low_lag_6,close_lag_6,open_lag_7,high_lag_7,low_lag_7,close_lag_7,open_lag_8,high_lag_8,low_lag_8,close_lag_8,open_lag_9,high_lag_9,low_lag_9,close_lag_9,open_lag_10,high_lag_10,low_lag_10,close_lag_10,open_lag_11,high_lag_11,low_lag_11,close_lag_11,open_lag_12,high_lag_12,low_lag_12,close_lag_12,target,uid
2024-10-17 20:00:00,67383.8,67456.47,67186.51,67209.09,67412.02,67481.13,67287.9,67413.45,67101.81,67473.67,67101.09,67436.52,66941.19,67139.74,66939.21,67108.23,66842.27,67151.16,66826.53,66943.77,66937.3,67023.91,66778.82,66817.54,67287.05,67304.95,66723.69,66953.58,67389.96,67529.87,67161.56,67297.87,67587.51,67596.07,67123.81,67369.98,67098.14,67680.47,66937.04,67565.59,67005.48,67294.89,66665.07,67098.13,67218.57,67347.22,66671.33,67002.45,66880.11,67216.44,66803.02,67216.44,68093.67,67412.02_67473.67_66939.21_66943.77
2024-10-17 19:00:00,67412.02,67481.13,67287.9,67413.45,67101.81,67473.67,67101.09,67436.52,66941.19,67139.74,66939.21,67108.23,66842.27,67151.16,66826.53,66943.77,66937.3,67023.91,66778.82,66817.54,67287.05,67304.95,66723.69,66953.58,67389.96,67529.87,67161.56,67297.87,67587.51,67596.07,67123.81,67369.98,67098.14,67680.47,66937.04,67565.59,67005.48,67294.89,66665.07,67098.13,67218.57,67347.22,66671.33,67002.45,66880.11,67216.44,66803.02,67216.44,67232.17,67271.32,66808.0,66876.27,67209.09,67101.81_67139.74_66826.53_66817.54
2024-10-17 18:00:00,67101.81,67473.67,67101.09,67436.52,66941.19,67139.74,66939.21,67108.23,66842.27,67151.16,66826.53,66943.77,66937.3,67023.91,66778.82,66817.54,67287.05,67304.95,66723.69,66953.58,67389.96,67529.87,67161.56,67297.87,67587.51,67596.07,67123.81,67369.98,67098.14,67680.47,66937.04,67565.59,67005.48,67294.89,66665.07,67098.13,67218.57,67347.22,66671.33,67002.45,66880.11,67216.44,66803.02,67216.44,67232.17,67271.32,66808.0,66876.27,67174.74,67288.79,66817.33,67232.86,67413.45,66941.19_67151.16_66778.82_66953.58
2024-10-17 17:00:00,66941.19,67139.74,66939.21,67108.23,66842.27,67151.16,66826.53,66943.77,66937.3,67023.91,66778.82,66817.54,67287.05,67304.95,66723.69,66953.58,67389.96,67529.87,67161.56,67297.87,67587.51,67596.07,67123.81,67369.98,67098.14,67680.47,66937.04,67565.59,67005.48,67294.89,66665.07,67098.13,67218.57,67347.22,66671.33,67002.45,66880.11,67216.44,66803.02,67216.44,67232.17,67271.32,66808.0,66876.27,67174.74,67288.79,66817.33,67232.86,67440.85,67526.81,67177.59,67191.89,67436.52,66842.27_67023.91_66723.69_67297.87
2024-10-17 16:00:00,66842.27,67151.16,66826.53,66943.77,66937.3,67023.91,66778.82,66817.54,67287.05,67304.95,66723.69,66953.58,67389.96,67529.87,67161.56,67297.87,67587.51,67596.07,67123.81,67369.98,67098.14,67680.47,66937.04,67565.59,67005.48,67294.89,66665.07,67098.13,67218.57,67347.22,66671.33,67002.45,66880.11,67216.44,66803.02,67216.44,67232.17,67271.32,66808.0,66876.27,67174.74,67288.79,66817.33,67232.86,67440.85,67526.81,67177.59,67191.89,67316.96,67474.58,67191.38,67459.02,67108.23,66937.3_67304.95_67161.56_67369.98
2024-10-17 15:00:00,66937.3,67023.91,66778.82,66817.54,67287.05,67304.95,66723.69,66953.58,67389.96,67529.87,67161.56,67297.87,67587.51,67596.07,67123.81,67369.98,67098.14,67680.47,66937.04,67565.59,67005.48,67294.89,66665.07,67098.13,67218.57,67347.22,66671.33,67002.45,66880.11,67216.44,66803.02,67216.44,67232.17,67271.32,66808.0,66876.27,67174.74,67288.79,66817.33,67232.86,67440.85,67526.81,67177.59,67191.89,67316.96,67474.58,67191.38,67459.02,67166.7,67350.49,67081.27,67305.29,66943.77,67287.05_67529.87_67123.81_67565.59
2024-10-17 14:00:00,67287.05,67304.95,66723.69,66953.58,67389.96,67529.87,67161.56,67297.87,67587.51,67596.07,67123.81,67369.98,67098.14,67680.47,66937.04,67565.59,67005.48,67294.89,66665.07,67098.13,67218.57,67347.22,66671.33,67002.45,66880.11,67216.44,66803.02,67216.44,67232.17,67271.32,66808.0,66876.27,67174.74,67288.79,66817.33,67232.86,67440.85,67526.81,67177.59,67191.89,67316.96,67474.58,67191.38,67459.02,67166.7,67350.49,67081.27,67305.29,67325.82,67497.99,67112.5,67166.71,66817.54,67389.96_67596.07_66937.04_67098.13
2024-10-17 13:00:00,67389.96,67529.87,67161.56,67297.87,67587.51,67596.07,67123.81,67369.98,67098.14,67680.47,66937.04,67565.59,67005.48,67294.89,66665.07,67098.13,67218.57,67347.22,66671.33,67002.45,66880.11,67216.44,66803.02,67216.44,67232.17,67271.32,66808.0,66876.27,67174.74,67288.79,66817.33,67232.86,67440.85,67526.81,67177.59,67191.89,67316.96,67474.58,67191.38,67459.02,67166.7,67350.49,67081.27,67305.29,67325.82,67497.99,67112.5,67166.71,67266.68,67477.78,67258.86,67354.4,66953.58,67587.51_67680.47_66665.07_67002.45
2024-10-17 12:00:00,67587.51,67596.07,67123.81,67369.98,67098.14,67680.47,66937.04,67565.59,67005.48,67294.89,66665.07,67098.13,67218.57,67347.22,66671.33,67002.45,66880.11,67216.44,66803.02,67216.44,67232.17,67271.32,66808.0,66876.27,67174.74,67288.79,66817.33,67232.86,67440.85,67526.81,67177.59,67191.89,67316.96,67474.58,67191.38,67459.02,67166.7,67350.49,67081.27,67305.29,67325.82,67497.99,67112.5,67166.71,67266.68,67477.78,67258.86,67354.4,67568.59,67585.6,67255.95,67262.18,67297.87,67098.14_67294.89_66671.33_67216.44
2024-10-17 11:00:00,67098.14,67680.47,66937.04,67565.59,67005.48,67294.89,66665.07,67098.13,67218.57,67347.22,66671.33,67002.45,66880.11,67216.44,66803.02,67216.44,67232.17,67271.32,66808.0,66876.27,67174.74,67288.79,66817.33,67232.86,67440.85,67526.81,67177.59,67191.89,67316.96,67474.58,67191.38,67459.02,67166.7,67350.49,67081.27,67305.29,67325.82,67497.99,67112.5,67166.71,67266.68,67477.78,67258.86,67354.4,67568.59,67585.6,67255.95,67262.18,67461.6,67692.16,67441.35,67577.07,67369.98,67005.48_67347.22_66803.02_66876.27
2024-10-17 10:00:00,67005.48,67294.89,66665.07,67098.13,67218.57,67347.22,66671.33,67002.45,66880.11,67216.44,66803.02,67216.44,67232.17,67271.32,66808.0,66876.27,67174.74,67288.79,66817.33,67232.86,67440.85,67526.81,67177.59,67191.89,67316.96,67474.58,67191.38,67459.02,67166.7,67350.49,67081.27,67305.29,67325.82,67497.99,67112.5,67166.71,67266.68,67477.78,67258.86,67354.4,67568.59,67585.6,67255.95,67262.18,67461.6,67692.16,67441.35,67577.07,67871.51,67894.64,67411.69,67444.72,67565.59,67218.57_67216.44_66808.0_67232.86
2024-10-17 09:00:00,67218.57,67347.22,66671.33,67002.45,66880.11,67216.44,66803.02,67216.44,67232.17,67271.32,66808.0,66876.27,67174.74,67288.79,66817.33,67232.86,67440.85,67526.81,67177.59,67191.89,67316.96,67474.58,67191.38,67459.02,67166.7,67350.49,67081.27,67305.29,67325.82,67497.99,67112.5,67166.71,67266.68,67477.78,67258.86,67354.4,67568.59,67585.6,67255.95,67262.18,67461.6,67692.16,67441.35,67577.07,67871.51,67894.64,67411.69,67444.72,67688.55,67896.28,67401.89,67883.81,67098.13,66880.11_67271.32_66817.33_67191.89
2024-10-17 08:00:00,66880.11,67216.44,66803.02,67216.44,67232.17,67271.32,66808.0,66876.27,67174.74,67288.79,66817.33,67232.86,67440.85,67526.81,67177.59,67191.89,67316.96,67474.58,67191.38,67459.02,67166.7,67350.49,67081.27,67305.29,67325.82,67497.99,67112.5,67166.71,67266.68,67477.78,67258.86,67354.4,67568.59,67585.6,67255.95,67262.18,67461.6,67692.16,67441.35,67577.07,67871.51,67894.64,67411.69,67444.72,67688.55,67896.28,67401.89,67883.81,67641.2,67936.81,67582.38,67721.2,67002.45,67232.17_67288.79_67177.59_67459.02
2024-10-17 07:00:00,67232.17,67271.32,66808.0,66876.27,67174.74,67288.79,66817.33,67232.86,67440.85,67526.81,67177.59,67191.89,67316.96,67474.58,67191.38,67459.02,67166.7,67350.49,67081.27,67305.29,67325.82,67497.99,67112.5,67166.71,67266.68,67477.78,67258.86,67354.4,67568.59,67585.6,67255.95,67262.18,67461.6,67692.16,67441.35,67577.07,67871.51,67894.64,67411.69,67444.72,67688.55,67896.28,67401.89,67883.81,67641.2,67936.81,67582.38,67721.2,67786.73,67825.23,67610.79,67628.96,67216.44,67174.74_67526.81_67191.38_67305.29
